UTC Timestamp,EEG Signal A3 (uV),EEG Signal A4 (uV)
2025-01-20 10:05:31.701187,323,0
2025-01-20 10:05:31.711187,404,0
2025-01-20 10:05:31.721187,359,0
2025-01-20 10:05:31.731187,497,1
2025-01-20 10:05:31.741187,391,0
2025-01-20 10:05:31.751187,543,1
2025-01-20 10:05:31.761187,390,0
2025-01-20 10:05:31.771187,563,1
2025-01-20 10:05:31.781187,428,0
2025-01-20 10:05:31.791187,571,1
2025-01-20 10:05:31.801187,535,1
2025-01-20 10:05:31.811187,399,0
2025-01-20 10:05:31.821187,231,0
2025-01-20 10:05:31.831187,391,0
2025-01-20 10:05:31.841187,337,0
2025-01-20 10:05:31.851187,500,1
2025-01-20 10:05:31.861187,400,0
2025-01-20 10:05:31.871187,528,1
2025-01-20 10:05:31.881187,384,0
2025-01-20 10:05:31.891187,481,1
2025-01-20 10:05:31.901187,359,0
2025-01-20 10:05:31.911187,524,1
2025-01-20 10:05:31.921187,349,0
2025-01-20 10:05:31.931187,529,1
2025-01-20 10:05:31.941187,317,0
2025-01-20 10:05:31.951187,578,1
2025-01-20 10:05:31.961187,546,1
2025-01-20 10:05:31.971187,615,2
2025-01-20 10:05:31.981187,543,1
2025-01-20 10:05:31.991187,533,1
2025-01-20 10:05:32.001187,320,0
2025-01-20 10:05:32.011187,384,0
2025-01-20 10:05:32.021187,312,0
2025-01-20 10:05:32.031187,509,1
2025-01-20 10:05:32.041187,466,1
2025-01-20 10:05:32.051187,630,2
2025-01-20 10:05:32.061187,541,1
2025-01-20 10:05:32.071187,690,2
2025-01-20 10:05:32.081187,556,1
2025-01-20 10:05:32.091187,705,2
2025-01-20 10:05:32.101187,574,1
2025-01-20 10:05:32.111187,584,1
2025-01-20 10:05:32.121187,475,1
2025-01-20 10:05:32.131187,660,2
2025-01-20 10:05:32.141187,538,1
2025-01-20 10:05:32.151187,698,2
2025-01-20 10:05:32.161187,532,1
2025-01-20 10:05:32.171187,671,2
2025-01-20 10:05:32.181187,550,1
2025-01-20 10:05:32.191187,576,1
2025-01-20 10:05:32.201187,447,1
2025-01-20 10:05:32.211187,560,1
2025-01-20 10:05:32.221187,483,1
2025-01-20 10:05:32.231187,639,2
2025-01-20 10:05:32.241187,519,1
2025-01-20 10:05:32.251187,664,2
2025-01-20 10:05:32.261187,475,1
2025-01-20 10:05:32.271187,596,1
2025-01-20 10:05:32.281187,491,1
2025-01-20 10:05:32.291187,538,1
2025-01-20 10:05:32.301187,346,0
2025-01-20 10:05:32.311187,480,1
2025-01-20 10:05:32.321187,352,0
2025-01-20 10:05:32.331187,515,1
2025-01-20 10:05:32.341187,370,0
2025-01-20 10:05:32.351187,504,1
2025-01-20 10:05:32.361187,399,0
2025-01-20 10:05:32.371187,585,1
2025-01-20 10:05:32.381187,243,0
2025-01-20 10:05:32.391187,0,0
2025-01-20 10:05:32.401187,0,0
2025-01-20 10:05:32.411187,0,0
2025-01-20 10:05:32.421187,0,0
2025-01-20 10:05:32.431187,0,0
2025-01-20 10:05:32.441187,0,0
2025-01-20 10:05:32.451187,0,0
2025-01-20 10:05:32.461187,0,0
2025-01-20 10:05:32.471187,143,0
2025-01-20 10:05:32.481187,81,0
2025-01-20 10:05:32.491187,322,0
2025-01-20 10:05:32.501187,286,0
2025-01-20 10:05:32.511187,383,0
2025-01-20 10:05:32.521187,284,0
2025-01-20 10:05:32.531187,478,1
2025-01-20 10:05:32.541187,302,0
2025-01-20 10:05:32.551187,455,1
2025-01-20 10:05:32.561187,356,0
2025-01-20 10:05:32.571187,580,1
2025-01-20 10:05:32.581187,437,1
2025-01-20 10:05:32.591187,638,2
2025-01-20 10:05:32.601187,521,1
2025-01-20 10:05:32.611187,728,3
2025-01-20 10:05:32.621187,590,1
2025-01-20 10:05:32.631187,780,3
2025-01-20 10:05:32.641187,632,2
